,ad_id,count,id,title,created_at,image,campaign_id,campaign_title,advertiser_id,advertiser_name,viewed,clicked
4572,197331,982,197331,نظر قطعی آیت‌الله بهجت درباره دعای چشم‌زخم امام جواد(ع),2020-10-11 13:20:24.214121+03:30,https://native.yektanet.com/static/media/upload/items/image__1bodqd160i.jpeg,52621,imamjavad1,1874,sharafonline.ir,2205017,2354
4571,289923,982,289923,تبلت سدنا | کیفیت تضمینی و قیمت مناسب را از ما بخواهید.,2021-04-28 13:21:47.425749+04:30,https://native.yektanet.com/static/media/upload/items/image__1cb1E3z60G.jpeg,105756,همسان-موضوعی-موبایل,7618,Sednaco.ir,2607455,1026
4570,260739,982,260739,آموزش تک نوازی گیتار در 20 جلسه محتوای ویدئویی + رایگان,2021-02-28 10:20:36.200358+03:30,https://native.yektanet.com/static/media/upload/items/image__1bWxHcKUwg.jpeg,95144,guitar-n-tc,1550,maktabkhooneh.org,7816354,5096
4569,266311,982,266311,همین حالا خونه مورد علاقتو بخر جون دل!!,2021-03-07 08:59:05.164655+03:30,https://native.yektanet.com/static/media/upload/items/image__1bYewnlMPs.jpeg,82270,بازدید ملک موبایل دیماه 1399,24041,ez2bz.com,3921769,1926
4568,299093,982,299093,"میخوای ریش پرپشت داشته باشی؟
یه ترفند خیلی خفن رو یاد بگیر",2021-05-12 12:14:57.902293+04:30,https://native.yektanet.com/static/media/upload/items/image__1cerTCpvL6.jpeg,93354,کاشت مو ارین سیما,32355,ariansima.com,976891,1016
4573,265590,981,265590,وقتی خیلی خسته ایم از کجا یک قهوه دلچسب بخریم؟,2021-03-06 09:46:36.019022+03:30,https://native.yektanet.com/static/media/upload/items/image__1bRVrEBjSk.png,96787,Mob-Ntv,8723,shop.set-coffee.com,4992935,1185
4574,289521,981,289521,شب آهنگی رو رایگان ببین!!!!,2021-04-27 16:55:56.804723+04:30,https://native.yektanet.com/static/media/upload/items/image__1caOHdu9ru.png,104821,NB_shabahang_Mobile,34524,filmnet.ir,1488995,1026
4575,262958,980,262958,خرید اینترنتی لاستیک زیر قیمت بازار با گارانتی 5 ساله!,2021-03-02 14:19:43.391098+03:30,https://native.yektanet.com/static/media/upload/items/image__1bX3LyEjjC.jpeg,95927,DS-Ntv-Retargeting,25887,hammpa.com,809618,1319
4576,224590,980,224590,چطور بدون خواندن هیچ کتابی، فقط در 15 هفته به زبان انگلیسی مسلط بشیم؟!,2020-12-24 18:29:57.260921+03:30,https://native.yektanet.com/static/media/upload/items/image__1cdumMdBc2.jpeg,81019,وبینار 15 هفته 1,3857,jadoeyezaban.com,824991,2004
4577,290885,978,290885,فروش انواع تردمیل،دوچرخه ثابت، الپتیکال و تجهیزات بدنسازی با 15% تخفیف,2021-04-30 20:54:39.817174+04:30,https://native.yektanet.com/static/media/upload/items/image__1cbAQQtFCG.jpeg,106649,کمپین فروش تجهیزات ورزشی با 15% تخفیف,33461,fitandam.com,290520,978
4578,288588,978,288588,جهازتو خیلی راحت تو قسطی‌کلاب میتونی قسطی بخری!,2021-04-26 12:07:46.624258+04:30,"https://native.yektanet.com/static/media/upload/items/5557_jn,uAdXc0.jpg",105773,Native-Mobile-Bulk,7106,ghesticlub.com,1289735,1009
4579,277024,978,277024,"تماشای تهران از ارتفاع 3000 متری
تله کابین توچال ایستگاه ۱ به 5",2021-04-04 18:56:20.224622+04:30,https://native.yektanet.com/static/media/upload/items/15f50349_1c5c6SuQ32.jpg,101121,tafrihi,8743,netbarg.com,2536988,1006
4581,181081,977,181081,تلویزیون هوشمند شیائومی 65 اینچ با قیمت 17.100.000تومان,2020-08-24 14:43:15.608481+04:30,https://native.yektanet.com/static/media/upload/items/1711968__1aZXbcxcHG.jpg,61009,همسان ریتارگت,19777,Pb360.ir,1100058,1983
4580,292433,977,292433,خرید بهترین کباب زن دستی خانگی آلومنیومی - تخفیف فقط امروز,2021-05-02 20:34:16.348256+04:30,https://native.yektanet.com/static/media/upload/items/image__1cf06F08tc.jpeg,107165,کباب زن جدید,21436,cheftools.co,158951,1020
4582,275005,976,275005,ثبت نام شرف الشمس 1400 آغاز شد,2021-03-28 13:55:12.495275+04:30,https://native.yektanet.com/static/media/upload/items/image__1c3qs0udNe.jpeg,99988,کمپین شرف الشمس 1400,33930,khatamaraa.ir,1109136,1022
4583,270956,976,270956,"دریافت سهمیه ماه رمضان برنج در ""هست اینجا"" (کیلویی 24,500 تومان)",2021-03-14 15:35:23.318191+03:30,https://native.yektanet.com/static/media/upload/items/image__1c01bAychM.jpeg,77951,N-Berenj-D,21815,hastinja.ir,5627985,1029
4584,255297,976,255297,50% تخفیف آدیداس ادوتویلت مردانه آیس دایو!,2021-02-20 14:11:39.029677+03:30,https://native.yektanet.com/static/media/upload/items/image__1bUBEjVzY6.jpeg,91199,native-retarget,20865,meisamatr.com,1375194,1062
4585,223491,975,223491,"دوره آموزش طراحی سایت-آنلاین,حضوری-آموزشگاه تحلیل داده",2020-12-22 12:14:45.384728+03:30,https://native.yektanet.com/static/media/upload/items/image__1bHo1btCGq.jpeg,80557,کمپین طراحی سایت,8571,tahlildadeh.com,1288740,1997
4586,298552,975,298552,خرید لوازم خانگی اصلی با قیمت های ارزان(کف بازار),2021-05-11 16:41:12.674535+04:30,https://native.yektanet.com/static/media/upload/items/image__1cefuTAFzq.jpeg,109258,صفحه اصلی,29742,kalamanoto.com,2178763,1004
4587,192237,975,192237,پکیج سئو سایت همراه با بهبود رتبه در گوگل و الکسا,2020-09-27 10:35:03.136011+03:30,https://native.yektanet.com/static/media/upload/items/image__1bkKwZd08O.jpeg,66064,همسان,4008,clickaval.com,37837111,4438
4588,302542,975,302542,یه خرید باورنکردنی از بانی‌مد! 2 تا بخر، 2 تا هدیه بگیر!,2021-05-18 14:24:30.186307+04:30,https://native.yektanet.com/static/media/upload/items/image__1cfWx1AjH8.jpeg,110478,selected22-0002-NR-D,762,banimode.com,2228136,988
4589,291796,974,291796,دوره جامع مفاهیم اولیه بلاکچین + دوره مبانی برنامه نویسی با جاوا,2021-05-02 10:43:01.345691+04:30,https://native.yektanet.com/static/media/upload/items/image__1cbYOsdQHk.png,106946,تست آموزش آنلاین,21463,vitbex.com,368917,1023
4590,257226,973,257226,150 فرمول طلایی دلالی علمی املاک اینجاست! (تماس بگیرید),2021-02-22 18:30:55.095598+03:30,https://native.yektanet.com/static/media/upload/items/984D8A7DB8CDB8C-compressed_1bV8ODLUFW.jpg,70521,محصولات املاک,25325,kashanikia.com,3864871,999
4592,271554,973,271554,ارزانترین بلیط استانبول به تهران امروز,2021-03-15 14:29:07.621254+03:30,https://native.yektanet.com/static/media/upload/items/image__1c0fHhQMe6.png,98993,istanbul to tehran,165,trip.ir,5492666,1686
4593,285404,973,285404,ارزان ترین قیمت ممکن در حراج اوت‌لت مدیسه,2021-04-19 15:16:13.491869+04:30,https://native.yektanet.com/static/media/upload/items/image__1c8PX9nyLY.jpeg,104028,outlet1400.01.29,619,modisehshop,2109560,1010
4591,274172,973,274172,وبینار چشم‌انداز بازارهای سرمایه در سال 1400,2021-03-24 08:54:23.962524+04:30,https://native.yektanet.com/static/media/upload/items/image__1c2oqCxc1O.jpeg,58794,میثم محمدی همسان (موضوعی),17372,meisam-mohammadi.com,6641541,1334
4594,290559,972,290559,آموزشی هدفمند، تجربه ای هوشمند,2021-04-29 11:42:55.760032+04:30,https://native.yektanet.com/static/media/upload/items/image__1cbfOp4vP4.jpeg,106488,هوشمندان,35459,Www.hoshmandan.com,1039561,1006
4595,303944,972,303944,بازی مدیوم فارسی شده برای اولین بار در ایران,2021-05-20 22:54:41.526510+04:30,https://native.yektanet.com/static/media/upload/items/image__1cgwllLMmu.png,110284,Spring2021,2200,sargarme.com,472724,992
4596,290587,971,290587,آخرین فرصت برای عضویت رایگان کانال سیگنال فارکس,2021-04-29 12:47:45.667399+04:30,https://native.yektanet.com/static/media/upload/items/image__1cbguRAYOw.jpeg,106510,پرسپولیس_الریان,34731,iranibourse.com,1122751,984
4597,283071,971,283071,آشنایی کامل با تمام ارزهای دیجیتال,2021-04-15 11:58:48.880990+04:30,https://native.yektanet.com/static/media/upload/items/image__1c7P1kiGxK.png,103104,Blog_N_segment_D,16699,excoino.com,2838680,971
4598,288067,971,288067,جشنواره فروش لوازم جانبی کامپیوتر و موبایل سیپاس (ویژه همکاران),2021-04-25 14:34:07.822652+04:30,https://native.yektanet.com/static/media/upload/items/image__1caiM9fSm8.jpeg,105503,خرید آنلاین همکار,27786,sipas.ir,1921670,967
4601,285190,970,285190,برای اینکه از اپلیکشن خود درآمد دلاری داشته باشید، اینجا ثبت نام کنید.,2021-04-19 10:42:07.126329+04:30,https://native.yektanet.com/static/media/upload/items/image__1c01QZDxhe.jpeg,104253,کمپین بالک دسکتاپ,33648,adivery.com,3437956,995
4599,247295,970,247295,شرکت در دوره‌ها 100%رایگان - قوی ترین کلاس آنلاین کنکور,2021-02-07 16:27:13.612870+03:30,https://native.yektanet.com/static/media/upload/items/image__1btD8kZZna.jpeg,90246,NR-firstclass2-Mobile,15367,classino.com,1347279,1621
4600,291393,970,291393,خرید خودرو با وام فوری، کلیه مدارک به نام خریدار | ماشینچی همکار باما,2021-05-01 16:55:17.474705+04:30,https://native.yektanet.com/static/media/upload/items/image__1bYMydo7aI.jpeg,106837,Finance desktop targeted,32578,mashinchi.ir,688129,985
4602,301679,969,301679,چطور در بایننس،حرفه ای ترید کنیم ؟,2021-05-17 11:04:41.965257+04:30,https://native.yektanet.com/static/media/upload/items/image__1cfFd4AKOK.jpeg,110359,ترید حرفه ای در بایننس 2,32110,treasurypto.com,1066809,1001
